Name,Image URLs,Front,Back,Text,Cost,Defense,Level,Faction,Type,Role,Set Name,Set Qty,Artist
Precision Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-029-precision-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-030-precision-blow-back.jpg,,,"Sacrifice:
Deal 3 damage to target minion in your area.
|
Sacrifice:
Deal 3 damage to target guard.",,,1,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Powerful Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-031-powerful-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-032-powerful-blow-back.jpg,,,"Sacrifice:
Deal 5 damage to target minion in your area.
|
Sacrifice:
Deal 5 damage to target guard.",,,2,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Crushing Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-033-crushing-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-034-crushing-blow-back.jpg,,,"Sacrifice:
Deal 9 damage divided as you choose among minions in your area.
|
Sacrifice:
Gain 8 Combat.",,,3,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Sweeping Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-035-sweeping-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-036-sweeping-blow-back.jpg,,,"Sacrifice:
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area. Deal 9 damage divided as you choose among minions in your area.
|
Sacrifice:
Deal 8 damage divided as you choose among opposing champions.
Draw a card.",,,4,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Simon Pape
Smashing Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-037-smashing-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-038-smashing-blow-back.jpg,,,"Sacrifice:
Draw a card if there are any minions in your area.
Deal 10 damage divided as you choose among minions in your area.
|
Sacrifice:
Gain 10 Combat.",,,4,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Apsara
Whirling Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-039-whirling-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-040-whirling-blow-back.jpg,,,"Sacrifice:
Focus <i>(This card may target beyond your area even if there are minions i n your area.)</i>
You may move up to two target nearby minions to your area. Deal 10 damage divided as you choose among minions in your area.
|
Sacrifice:
Deal 12 damage divided as you choose among opposing champions.
Draw a card.",,,5,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Simon Pape
Mighty Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-041-mighty-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-042-mighty-blow-back.jpg,,,"Sacrifice:
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area.
Draw a card for each minion in your area. Deal 10 damage divided as you choose among minions in your area.
|
Sacrifice:
Gain 5 Combat.
You may deal 6 damage to target champion.
Draw a card.",,,5,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Jean Baptiste Andrier
Devastating Blow,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-043-devastating-blow.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-044-devastating-blow-back.jpg,,,"Sacrifice:
Draw a card for each minion in your area.
Deal 10 damage to each minion in your area.
|
Sacrifice:
Gain 12 Combat.",,,5,,Fighter Campaign Ability | Fighter Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Apsara
Shoulder Bash,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-045-shoulder-bash.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-046-shoulder-bash-back.jpg,,,"Expend and pay 2 Gold:
Gain 2 Combat.",,,1,,Fighter Campaign Skill | Fighter Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Knock Back,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-047-knock-back.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-048-knock-back-back.jpg,,,"Expend and pay 2 Gold:
Gain 2 Combat.
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area.
|
Expend and pay 2 Gold:
Gain 2 Combat.
You may expend target champion.
<i>(Expended guards do not prevent targeting or attacking other champions or their controller. Cards prepare at the end of their controller’s turn.)</i>",,,2,,Fighter Campaign Skill | Fighter Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Melvin Chan
Shoulder Smash,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-049-shoulder-smash.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-050-shoulder-smash-back.jpg,,,"Expend and pay 2 Gold:
Gain 3 Combat.",,,2,,Fighter Campaign Skill | Fighter Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Knock down,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-051-knock-down.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-052-knock-down-back.jpg,,,"Expend and pay 2 Gold:
Gain 3 Combat.
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area.
|
Expend and pay 2 Gold:
Gain 3 Combat.
You may expend target champion.
<i>(Expended guards do not prevent targeting or attacking other champions or their controller. Cards prepare at the end of their controller’s turn.)</i>",,,3,,Fighter Campaign Skill | Fighter Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Melvin Chan
Group Tackle,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-053-group-tackle.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-054-group-tackle-back.jpg,,,"Expend and pay 2 Gold:
Gain 2 Combat.
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area and expend it.
|
Expend and pay 2 Gold:
Gain 2 Combat.
Expend up to two target champions.
<i>(Expended guards do not prevent targeting or attacking other champions or their controller. Cards prepare at the end of their controller’s turn.)</i>",,,3,,Fighter Campaign Skill | Fighter Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Shen Fei
Shoulder Crush,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-055-shoulder-crush.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-056-shoulder-crush-back.jpg,,,"Expend and pay 2 Gold:
Gain 4 Combat.",,,3,,Fighter Campaign Skill | Fighter Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Minor Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-057-minor-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-058-minor-resurrect-back.jpg,,,"Sacrifice:
Put a champion with cost 2 Gold or less from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.",,,1,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Jaime Tayag
Lesser Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-059-lesser-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-060-lesser-resurrect-back.jpg,,,"Sacrifice:
Put a champion with cost 4 Gold or less from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.",,,2,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Jaime Tayag
Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-061-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-062-resurrect-back.jpg,,,"Sacrifice:
Put a champion from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.",,,3,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,David Nash
Battle Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-063-battle-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-064-battle-resurrect-back.jpg,,,"Sacrifice:
Support <i>(You may use this on your turn or on a nearby player’s turn.)</i>
Put a champion from the active player’s discard pile into play. Use this ability only on a champion that was stunned since that player’s last turn.
|
Sacrifice:
Put any champion, and up to one champion with cost 2 Gold or less, from your discard pile into play. Use this ability only on champions that were stunned since your last turn.",,,4,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Apsara
Holy Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-065-holy-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-066-holy-resurrect-back.jpg,,,"Sacrifice:
Gain 5 Health.
Put a champion from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.",,,4,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Shen Fei
Mass Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-067-mass-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-068-mass-resurrect-back.jpg,,,"Sacrifice:
Support <i>(You may use this on your turn or on a nearby player’s turn.)</i>
Put up to two champions from the active player’s discard pile into play. Use this ability only on champions that were stunned since that player’s last turn.
|
Sacrifice:
Put up to three champions from your discard pile into play. Use this ability only on champions that were stunned since your last turn.",,,5,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Apsara
Righteous Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-069-righteous-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-070-righteous-resurrect-back.jpg,,,"Sacrifice:
Support <i>(You may use this on your turn or on a nearby player’s turn.)</i>
The active player gains 5 Health. That player may put a champion from their discard pile into play. Use this ability only on a champion that was stunned since that player’s last turn.
|
Sacrifice:
Gain 5 Health.
Put any champion, and up to one champion with cost 2 Gold or less, from your discard pile into play. Use this ability only on champions that were stunned since your last turn.",,,5,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Andres Agostini
Divine Resurrect,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-071-divine-resurrect.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-072-divine-resurrect-back.jpg,,,"Sacrifice:
Gain 10 Health.
Put a champion from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.",,,5,,Cleric Campaign Ability | Cleric Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Shen Fei
Bless,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-073-bless.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-074-bless-back.jpg,,,"Expend and pay 2 Gold:
Target player gains 3 Health and their champions gain+1 Defense until the end of your next turn.",,,1,,Cleric Campaign Skill | Cleric Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Bless of Iron,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-075-bless-of-iron.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-076-bless-of-iron-back.jpg,,,"Expend and pay 2 Gold:
Target player gains 4 Health and their champions gain +2 Defense until the end of your next turn.",,,2,,Cleric Campaign Skill | Cleric Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Simon Pape
Bless of Heart,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-077-bless-of-heart.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-078-bless-of-heart-back.jpg,,,"Expend and pay 2 Gold:
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You and another target player each gain 3 Health and those players’ champions each gain +1 Defense until the end of your next turn.
|
Expend and pay 2 Gold:
Target player gains 4 Health plus an additional 1 Health for each champion they control, and their champions gain +1 Defense until the end of your next turn.",,,2,,Cleric Campaign Skill | Cleric Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Bless of Steel,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-079-bless-of-steel.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-080-bless-of-steel-back.jpg,,,"Expend and pay 2 Gold:
Target player gains 5 Health and their champions gain +3 Defense until the end of your next turn.",,,3,,Cleric Campaign Skill | Cleric Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Simon Pape
Bless the Flock,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-081-bless-the-flock.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-082-bless-the-flock-back.jpg,,,"Expend and pay 2 Gold:
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You and another target player each gain 4 Health and those players’ champions each gain +2 Defense until the end of your next turn.
|
Expend and pay 2 Gold:
Target player gains 5 Health plus an additional 1 Health for each champion they control, and their champions gain +2 Defense until the end of your next turn.",,,3,,Cleric Campaign Skill | Cleric Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Souveraine
Bless of Soul,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-083-bless-of-soul.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-084-bless-of-soul-back.jpg,,,"Expend and pay 2 Gold:
You and each nearby player gain 3 Health and those players’ champions each gain +1 Defense until the end of your next turn.
|
Expend and pay 2 Gold:
Target player gains 5 Health plus an additional 2 Health for each champion they control, and their champions gain +1 Defense until the end of your next turn.",,,3,,Cleric Campaign Skill | Cleric Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Pilfer,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-085-pilfer.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-086-pilfer-back.jpg,,,"Sacrifice:
Acquire an item of cost 2 Gold or less for free.
<i>(For example, a Fire Gem.)</i>",,,1,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Theft,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-087-theft.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-088-theft-back.jpg,,,"Sacrifice:
Acquire a card of cost 2 Gold or less for free.",,,2,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Dhennis Balontong
Heist,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-089-heist.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-090-heist-back.jpg,,,"Sacrifice:
The next time you acquire a card this turn, you may acquire another card of the same faction and of equal or lesser cost for free.
|
Sacrifice:
This turn, you may acquire a card of cost 1 Gold or more from an opponent’s discard pile by paying its cost. You may not use this ability on your first or second turn.",,,3,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Jimmy Tayag
Timely Heist,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-091-timely-heist.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-092-timely-heist-back.jpg,,,"Sacrifice:
The next time you acquire a card this turn, you may acquire another card of the same faction and of equal or lesser cost for free. If the second card costs 3 Gold or less, put it into your hand.",,,4,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Skillful Heist,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-093-skillful-heist.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-094-skillful-heist-back.jpg,,,"Sacrifice:
The next time you acquire a card this turn you may acquire another card of equal or lesser cost for free.
|
Sacrifice:
This turn, you may acquire a card of cost 1 Gold or more from an opponent’s discard pile by paying its cost. You may also acquire a card from the market row of cost 3 Gold or less for free. You may not use this ability on your first or second turn.",,,4,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Grzegorz Pedrycz
Practiced Heist,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-095-practiced-heist.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-096-practiced-heist-back.jpg,,,"Sacrifice:
The next time you acquire a card this turn you may acquire another card of the same faction and of equal or lesser cost for free. Put the second card into your hand.",,,5,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Smooth Heist,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-098-smooth-heist.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-097-smooth-heist-back.jpg,,,"Sacrifice:
The next time you acquire a card this turn you may acquire another card of equal or lesser cost for free. Put cards of cost 3 Gold or less acquired in this way into your hand.",,,5,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,L. Sean
Masterly Heist,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-100-masterly-heist.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-099-masterly-heist-back.jpg,,,"Sacrifice:
This turn, you may acquire a card of cost 1 Gold or more from an opponent’s discard pile by paying its cost. You may also acquire a card from the market row of cost 5 Gold or less for free. You may not use this ability on your first or second turn.
|
Sacrifice:
The next time you acquire a card this turn you may acquire another card that costs up to 1 Gold more for free.",,,5,,Thief Campaign Ability | Thief Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Grzegorz Pedrycz
Pickpocket,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-101-pickpocket.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-102-pickpocket-back.jpg,,,"Expend and pay 2 Gold:
If you can target the master, gain 3 Health and look at the top card of their deck. You may put it into the master’s discard pile <i>(or back on top of their deck)</i>.
|
Expend and pay 2 Gold:
Gain 3 Health.
Target opponent discards a card.",,,1,,Thief Campaign Skill | Thief Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Jimmy Tayag
Sleight of Hand,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-103-sleight-of-hand.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-104-sleight-of-hand-back.jpg,,,"Expend and pay 2 Gold:
Gain 3 Health.
Target a player or master. Look at the top card of their deck. You may put it into their discard pile.
|
Expend and pay 2 Gold:
Gain 3 Health.
Target opponent discards a card. If that card has no cost, gain 1 Gold.",,,2,,Thief Campaign Skill | Thief Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Melvin Chan
Swipe,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-105-swipe.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-106-swipe-back.jpg,,,"Expend and pay 2 Gold:
Gain 4 Health.
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Look at the top card of target master’s deck. You may put it into the master’s discard pile.
|
Expend and pay 2 Gold:
Gain 4 Health.
Target opponent discards a card.",,,2,,Thief Campaign Skill | Thief Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Apsara
Misdirection,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-107-misdirection.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-108-misdirection-back.jpg,,,"Expend and pay 2 Gold:
Gain 3 Health.
Target up to two players and/or masters. Look at the top card of their decks. You may put any of them into their discard piles.
|
Expend and pay 2 Gold:
Gain 3 Health.
Target opponent discards a card. If that card has no cost, gain 2 Gold.",,,3,,Thief Campaign Skill | Thief Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Melvin Chan
Distracted Exchange,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-109-distracted-exchange.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-110-distracted-exchange-back.jpg,,,"Expend and pay 2 Gold:
Gain 4 Health.
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Target a player or master. Look at the top card of their deck. You may put it into their discard pile.
|
Expend and pay 2 Gold:
Gain 5 Health.
Target opponent discards a card. If that card has no cost, gain 1 Gold.",,,3,,Thief Campaign Skill | Thief Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,David Nash
Lift,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-111-lift.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-112-lift-back.jpg,,,"Expend and pay 2 Gold:
Gain 6 Health.
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Look at the top card of target master’s deck. You may put it into the master’s discard pile.
|
Expend and pay 2 Gold:
Gain 6 Health.
Target opponent discards a card.",,,3,,Thief Campaign Skill | Thief Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Apsara
Steady Shot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-113-steady-shot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-114-steady-shot-back.jpg,,,"Sacrifice:
Stun target minion with 4 Defense or less that isn’t in your area.
|
Sacrifice:
Stun target non-guard champion with 4 Defense or less.",,,1,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Bilal Bhatti
Well Placed Shot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-115-well-placed-shot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-116-well-placed-shot-back.jpg,,,"Sacrifice:
Stun target minion with 6 Defense or less that isn’t in your area.
|
Sacrifice:
Stun target non-guard champion with 6 Defense or less.",,,2,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Bilal Bhatti
Headshot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-117-headshot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-118-headshot-back.jpg,,,"Sacrifice:
Stun target minion that isn’t in your area.
Draw a card.
|
Sacrifice:
You may stun target champion.
Draw a card.",,,3,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Quickshot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-119-quickshot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-120-quickshot-back.jpg,,,"Sacrifice:
Stun target minion that isn’t in your area.
You may put an arrow from your discard pile into your hand.
Draw a card.
|
Sacrifice:
You may stun target champion.
You may put an arrow from your discard pile into your hand.
Draw a card.",,,4,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Twin Shot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-121-twin-shot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-122-twin-shot-back.jpg,,,"Sacrifice:
Stun target minion that isn’t in your area, then another.
Draw a card.
|
Sacrifice:
You may stun target champion, then another.
Draw a card.",,,4,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Johnny Morrow
Snapshot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-123-snapshot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-124-snapshot-back.jpg,,,"Sacrifice:
Stun target minion that isn’t in your area.
You may put up to two total bows and/or arrows from your discard pile into your hand.
Draw a card.
|
Sacrifice:
You may stun target champion.
You may put up to two total bows and/or arrows from your discard pile into your hand.
Draw a card.",,,5,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Longshot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-125-longshot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-126-longshot-back.jpg,,,"Sacrifice:
Stun target minion that isn’t in your area, then another.
You may put an arrow from your discard pile into your hand.
Draw a card.
|
Sacrifice:
You may stun target champion, then another.
You may put an arrow from your discard pile into your hand.
Draw a card.",,,5,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Grzegorz Pedrycz
Triple Shot,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-127-triple-shot.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-128-triple-shot-back.jpg,,,"Sacrifice:
Stun target minion that isn’t in your area, then a second, then a third.
Draw a card.
|
Sacrifice:
You may stun target champion, then a second, then a third.
Draw a card.",,,5,,Ranger Campaign Ability | Ranger Ability,Character Ability,Campaign Deck: Ruin of Thandar,1,Johnny Morrow
Track,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-129-track.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-130-track-back.jpg,,,"Expend and pay 2 Gold:
Look at the top three cards of your deck. You may put up to two of them into your discard pile, then put the rest back in any order.",,,1,,Ranger Campaign Skill | Ranger Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Jimmy Tayag
Fast Track,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-131-fast-track.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-132-fast-track-back.jpg,,,"Expend and pay 2 Gold:
You and target nearby player each look at the top three cards of your decks. You may each put up to two of them into your discard piles, then put the rest back in any order.
|
Expend and pay 1 Gold:
Look at the top three cards of your deck. You may put one of them into your discard pile, then put the rest back in any order.",,,2,,Ranger Campaign Skill | Ranger Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Souveraine
Careful Track,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-133-careful-track.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-134-careful-track-back.jpg,,,"Expend and pay 2 Gold:
Look at the top four cards of your deck. You may put up to two of them into your discard pile, then put the rest back in any order.",,,2,,Ranger Campaign Skill | Ranger Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
Instinctive Track,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-135-instinctive-track.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-136-instinctive-track-back.jpg,,,"Expend and pay 2 Gold:
You and up to two target nearby players each look at the top three cards of your decks. You may each put up to two of them into your discard piles, then put the rest back in any order.
|
Expend and pay 1 Gold:
Look at the top three cards of your deck. You may put up to two of them into your discard pile, then put the rest back in any order.",,,3,,Ranger Campaign Skill | Ranger Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Souveraine
Relentless Track,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-137-relentless-track.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-138-relentless-track-back.jpg,,,"Expend and pay 2 Gold:
You and target nearby player each look at the top four cards of your decks. You may each put up to two of them into your discard piles, then put the rest back in any order.
|
Expend and pay 1 Gold:
Look at the top four cards of your deck. You may put one of them into your discard pile, then put the rest back in any order.",,,3,,Ranger Campaign Skill | Ranger Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Helder Almeida
Flawless Track,https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-139-flawless-track.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/ROT-EN-140-flawless-track-back.jpg,,,"Expend and pay 2 Gold:
Look at the top five cards of your deck. You may put up to three of them into your discard pile, then put the rest back in any order.",,,3,,Ranger Campaign Skill | Ranger Skill,Character Skill,Campaign Deck: Ruin of Thandar,1,Antonis Papantoniou
